instance_id,match_key,baseline_path,reuse_path,baseline_num_turns,reuse_num_turns,baseline_vllm_requests,reuse_vllm_requests_executed,reuse_vllm_requests_avoided,reuse_cache_hit_pct,baseline_wall_solve_time_s,reuse_wall_solve_time_s,wall_time_delta_s,wall_time_delta_pct,baseline_lm_only_solve_time_s,reuse_lm_only_solve_time_s,lm_only_time_delta_s,lm_only_time_delta_pct,baseline_total_prompt_tokens,reuse_total_prompt_tokens,baseline_total_completion_tokens,reuse_total_completion_tokens,baseline_wall_tokens_per_s,reuse_wall_tokens_per_s,baseline_lm_tokens_per_s,reuse_lm_tokens_per_s,baseline_avg_request_latency_s,reuse_avg_request_latency_s,baseline_avg_prompt_tokens_per_request,reuse_avg_prompt_tokens_per_executed_request,baseline_avg_completion_tokens_per_request,reuse_avg_completion_tokens_per_executed_request
astropy__astropy-12907,astropy__astropy-12907_human,replays-two/astropy__astropy-12907_human.baseline.replay.json,replays-two/astropy__astropy-12907_human.reuse.replay.json,115,115,115,79,36,31.30434782608696,1848.1215934753418,1272.515973329544,-575.6056201457977,-31.14544098061141,1826.3488085269928,1256.382717847824,-569.9660906791687,-31.207953706218046,1298066,1196261,28595,19298,717.842919364007,955.2406613957734,726.4006710032535,967.5069409441138,15.881293987191242,15.903578706934482,11287.53043478261,15142.54430379747,248.65217391304347,244.27848101265823
astropy__astropy-14365,astropy__astropy-14365_human,replays-two/astropy__astropy-14365_human.baseline.replay.json,replays-two/astropy__astropy-14365_human.reuse.replay.json,385,385,385,216,169,43.896103896103895,4633.591416597366,2496.3245775699615,-2137.266839027405,-46.12549201838962,4527.081196546555,2410.6995511054993,-2116.3816454410553,-46.74936352048466,6229138,3516833,52920,29828,1355.764338111013,1420.7531471938976,1387.661879091591,1471.2165181984503,11.75865245856248,11.160646069932866,16179.57922077922,16281.63425925926,137.45454545454547,138.09259259259258
astropy__astropy-6938,astropy__astropy-6938_human,replays-two/astropy__astropy-6938_human.baseline.replay.json,replays-two/astropy__astropy-6938_human.reuse.replay.json,116,116,116,69,47,40.51724137931034,847.4160528182983,542.6318731307983,-304.7841796875,-35.9662976260436,779.0570013523102,504.85759139060974,-274.19940996170044,-35.196321897593755,582693,304828,14476,9335,704.6939906483505,578.9615677888364,766.5279934117997,622.2804318632722,6.716008632347502,7.316776686820431,5023.2155172413795,4417.797101449275,124.79310344827586,135.28985507246378
django__django-10924,django__django-10924_human,replays-two/django__django-10924_human.baseline.replay.json,replays-two/django__django-10924_human.reuse.replay.json,17,17,17,17,0,0.0,153.0340793132782,151.125501871109,-1.9085774421691895,-1.2471584438797545,151.4330620765686,149.52175068855286,-1.911311388015747,-1.2621493363512235,25239,25239,2838,2838,183.46893793847826,185.7859835194866,185.40865260852692,187.77870022725415,8.907827180974623,8.795397099326639,1484.6470588235295,1484.6470588235295,166.94117647058823,166.94117647058823
django__django-11179,django__django-11179_human,replays-two/django__django-11179_human.baseline.replay.json,replays-two/django__django-11179_human.reuse.replay.json,31,31,31,31,0,0.0,287.2925350666046,290.0056471824646,2.7131121158599854,0.9443726462405261,273.3902907371521,276.0982246398926,2.7079339027404785,0.9905011240300373,56523,56523,5211,5211,214.8820190740002,212.87171680887457,225.80904330415098,223.59433886443125,8.819041636682325,8.906394343222342,1823.3225806451612,1823.3225806451612,168.09677419354838,168.09677419354838
django__django-11742,django__django-11742_human,replays-two/django__django-11742_human.baseline.replay.json,replays-two/django__django-11742_human.reuse.replay.json,45,45,45,42,3,6.666666666666667,364.72198963165283,336.1052463054657,-28.616743326187134,-7.84617986842206,360.26866459846497,331.64379501342773,-28.62486958503723,-7.94542306834842,154824,143312,6797,6245,443.13478373823153,444.9707395048416,448.6124270067551,450.95672600762714,8.005970324410333,7.896280833653042,3440.5333333333333,3412.190476190476,151.04444444444445,148.6904761904762
matplotlib__matplotlib-18869,matplotlib__matplotlib-18869_human,replays-two/matplotlib__matplotlib-18869_human.baseline.replay.json,replays-two/matplotlib__matplotlib-18869_human.reuse.replay.json,44,44,44,42,2,4.545454545454546,394.97708654403687,379.9991114139557,-14.977975130081177,-3.792112413693458,374.5741341114044,359.5880284309387,-14.986105680465698,-4.0008383696906815,138549,134389,7057,6759,368.6441693973204,371.44297383958633,388.724118245427,392.5269720905306,8.513048502531918,8.56161972454616,3148.840909090909,3199.7380952380954,160.38636363636363,160.92857142857142
matplotlib__matplotlib-24265,matplotlib__matplotlib-24265_human,replays-two/matplotlib__matplotlib-24265_human.baseline.replay.json,replays-two/matplotlib__matplotlib-24265_human.reuse.replay.json,30,30,30,25,5,16.666666666666664,232.0364122390747,216.02535796165466,-16.011054277420044,-6.900233512024539,221.48452591896057,205.46888852119446,-16.015637397766113,-7.2310412347389486,52895,47937,4168,3886,245.9226095135712,239.89313332927694,257.6387662444594,252.21823300345721,7.382817530632019,8.218755540847779,1763.1666666666667,1917.48,138.93333333333334,155.44
matplotlib__matplotlib-24334,matplotlib__matplotlib-24334_human,replays-two/matplotlib__matplotlib-24334_human.baseline.replay.json,replays-two/matplotlib__matplotlib-24334_human.reuse.replay.json,117,117,117,75,42,35.8974358974359,1250.3581492900848,752.1605532169342,-498.19759607315063,-39.844391493430265,1215.4993298053741,731.4784061908722,-484.02092361450195,-39.82074788079097,944931,496928,21843,13121,773.197663844479,678.1118709543578,795.371890624407,697.2851087375882,10.388883160729694,9.753045415878296,8076.333333333333,6625.706666666667,186.69230769230768,174.94666666666666
matplotlib__matplotlib-25433,matplotlib__matplotlib-25433_human,replays-two/matplotlib__matplotlib-25433_human.baseline.replay.json,replays-two/matplotlib__matplotlib-25433_human.reuse.replay.json,30,30,30,30,0,0.0,249.78398156166077,252.3543083667755,2.570326805114746,1.029019871108206,238.631826877594,241.19672060012817,2.5648937225341797,1.0748330413821288,68643,68643,4519,4519,292.9010881425937,289.9177766113874,306.58944767467415,303.3291655788836,7.9543942292531336,8.039890686670939,2288.1,2288.1,150.63333333333333,150.63333333333333
